,Player,From,To,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
218,Adrian Oliver,2007,2011,Total,Total,117,3509,646,1506,490,1090,156,416,470,565,132,346,478,280,94,44,313,314,1918
219,Anthony Beane,2013,2016,Southern Illinois,MVC,129,4272,679,1563,486,1026,193,537,366,474,81,313,394,189,145,18,255,302,1917
220,Kenny Hasbrouck,2006,2009,Siena,MAAC,129,4013,691,1560,506,1064,185,496,350,470,114,322,436,331,248,18,273,299,1917
221,Damion James,2007,2010,Texas,Big 12,142,4156,705,1473,602,1190,103,283,404,631,418,900,1318,163,137,163,259,391,1917
222,Augustine Rubit,2011,2014,South Alabama,Sun Belt,118,3756,673,1359,652,1284,21,75,550,763,491,692,1183,125,71,139,269,283,1917
223,Jordon Varnado,2016,2019,Troy,Sun Belt,114,3434,717,1421,598,1075,119,346,364,508,240,578,818,172,68,147,215,304,1917
224,Jarrell Brantley,2016,2019,College of Charleston,CAA,123,3896,694,1424,582,1107,112,317,414,539,225,743,968,203,150,85,314,362,1914
225,Rodney Green,2007,2010,La Salle,A-10,123,3905,706,1520,626,1249,80,271,422,592,169,449,618,390,185,24,412,316,1914
226,Cameron Morse,2015,2018,Youngstown State,Horizon,110,3418,666,1593,434,925,232,668,349,450,41,235,276,334,126,12,194,155,1913
227,Jaylen Adams,2015,2018,St. Bonaventure,A-10,110,3998,532,1246,262,561,270,685,578,690,59,313,372,590,170,22,314,291,1912
228,Derrick Marks,2012,2015,Boise State,MWC,127,3538,669,1417,553,1124,116,293,458,580,69,383,452,370,190,50,332,355,1912
229,Javonte Green,2012,2015,Radford,Big South,133,3378,701,1350,677,1249,24,101,485,739,360,704,1064,141,243,89,245,358,1911
230,Nolan Smith,2008,2011,Duke,ACC,143,3842,667,1490,501,1039,166,451,411,514,114,284,398,406,142,19,292,267,1911
231,Kendall Anthony,2012,2015,Richmond,A-10,134,3918,628,1504,358,815,270,689,383,475,54,148,202,236,100,3,193,290,1909
232,T.J. Cline,2013,2017,Total,Total,135,3575,730,1397,548,878,182,519,267,408,141,579,720,398,97,22,250,350,1909
233,Kyle Wiltjer,2012,2016,Total,Total,147,3504,690,1417,442,834,248,583,281,341,173,497,670,190,48,85,186,223,1909
234,Russ Smith,2011,2014,Louisville,Total,133,3228,620,1501,440,980,180,521,488,642,98,261,359,378,257,8,316,321,1908
235,Keith Benson,2008,2011,Oakland,Summit,135,3616,684,1226,673,1197,11,29,524,772,331,772,1103,94,68,369,183,380,1903
238,Donte Clark,2015,2018,Total,Total,133,3935,582,1445,409,892,173,553,565,740,98,415,513,325,118,42,298,376,1902
239,Patrick Miller,2011,2014,Tennessee State,OVC,126,4451,609,1433,482,1041,127,392,555,754,149,342,491,520,196,22,375,331,1900
240,E.C. Matthews,2014,2018,Rhode Island,A-10,128,3931,632,1503,410,835,222,668,413,564,109,444,553,213,94,65,303,249,1899
241,Matt Mooney,2015,2019,Total,Total,135,3834,679,1524,449,899,230,625,311,403,56,408,464,354,236,17,294,237,1899
242,Brandon Young,2011,2014,DePaul,Big East,126,4007,660,1530,530,1085,130,445,449,624,75,322,397,521,188,20,352,209,1899
243,Luke Nevill,2006,2009,Utah,MWC,125,3625,689,1190,689,1190,0,0,520,708,271,672,943,157,53,205,272,334,1898
244,Jeffery Taylor,2009,2012,Vanderbilt,SEC,134,3923,665,1378,550,1057,115,321,452,652,280,472,752,252,146,60,309,313,1897
245,Garret Covington,2014,2017,Western Illinois,Summit,112,3764,602,1460,306,692,296,768,396,479,52,417,469,261,103,16,270,181,1896
246,Karl Cochran,2012,2015,Wofford,Southern,133,4068,701,1814,389,900,312,914,180,262,86,573,659,320,226,101,267,292,1894
247,C.J. Burks,2016,2019,Marshall,CUSA,130,3879,706,1495,492,896,214,599,266,332,69,350,419,334,153,19,310,261,1892
248,Sherron Collins,2007,2010,Kansas,Big 12,143,4071,656,1476,424,861,232,615,344,426,54,283,337,552,145,5,331,251,1888
249,Antwan Carter,2009,2012,Longwood,Ind,123,3351,781,1452,740,1304,41,148,283,419,329,679,1008,128,103,88,249,407,1886
250,Yante Maten,2015,2018,Georgia,SEC,128,3576,655,1355,597,1211,58,144,518,686,333,556,889,129,55,199,245,310,1886
251,Caleb Martin,2015,2019,Total,Total,139,3959,605,1461,294,595,311,866,364,502,121,505,626,261,135,78,198,293,1885
252,Frank Mason,2014,2017,Kansas,Big 12,145,4345,609,1340,424,900,185,440,482,633,79,421,500,576,165,10,270,287,1885
253,Braylon Rayson,2014,2017,Central Michigan,MAC,127,3681,625,1551,354,783,271,768,364,448,89,338,427,232,131,3,237,249,1885
254,Deonta Vaughn,2007,2010,Cincinnati,Big East,129,4270,608,1539,295,626,313,913,356,447,75,371,446,511,172,5,357,339,1885
255,Elijah Wilson,2014,2017,Coastal Carolina,Total,140,4232,659,1681,366,829,293,852,274,385,138,377,515,132,117,24,213,281,1885
256,Ty Greene,2012,2015,South Carolina Upstate,A-Sun,128,4213,590,1447,305,692,285,755,419,548,81,298,379,329,201,19,190,226,1884
257,Desmar Jackson,2010,2014,Total,Total,125,3545,665,1442,571,1109,94,333,460,625,166,402,568,251,243,56,369,357,1884
260,Sam Young,2006,2009,Pittsburgh,Big East,143,3642,716,1438,601,1115,115,323,337,487,258,454,712,138,119,109,267,238,1884
261,Treveon Graham,2012,2015,Virginia Commonwealth,Total,140,3558,618,1431,418,866,200,565,446,645,293,512,805,199,111,29,191,299,1882
262,James Woodard,2013,2016,Tulsa,Total,131,4272,595,1410,334,677,261,733,430,579,139,580,719,236,124,32,221,236,1881
263,C.J. Wilcox,2011,2014,Washington,Total,131,3735,640,1478,339,705,301,773,299,356,110,331,441,214,112,98,178,250,1880
264,Khallid Hart,2014,2017,Marist,MAAC,110,3851,584,1321,369,732,215,589,496,607,47,256,303,240,138,12,225,256,1879
265,Ryan Thompson,2007,2010,Rider,MAAC,128,4531,627,1331,479,916,148,415,477,610,243,491,734,393,188,47,305,300,1879
266,Gerald Robinson,2008,2012,Total,Total,127,3981,676,1517,529,1057,147,460,377,495,109,308,417,404,197,12,342,275,1876
267,Marqus Blakely,2007,2010,Vermont,AEC,129,3675,673,1179,669,1153,4,26,525,876,370,674,1044,301,226,254,331,316,1875
268,Jeremy Chappell,2006,2009,Robert Morris,NEC,124,4187,710,1508,467,843,243,665,212,276,215,466,681,338,266,79,254,326,1875
269,Derek Needham,2010,2013,Fairfield,MAAC,131,4435,628,1642,347,793,281,849,338,466,68,337,405,537,193,13,436,351,1875
270,Ray Lee,2013,2017,Eastern Michigan,MAC,135,3270,595,1426,382,826,213,600,470,591,65,151,216,242,167,14,336,255,1873
271,Jamal Olasewere,2010,2013,Long Island University,NEC,130,3384,630,1235,587,1085,43,150,570,859,274,689,963,164,170,104,405,462,1873
272,Trevor Releford,2011,2014,Alabama,SEC,134,4367,638,1319,478,873,160,446,437,537,83,336,419,395,263,11,303,325,1873
273,Junior Robinson,2015,2018,Mount St. Mary's,NEC,131,4049,603,1461,373,842,230,619,436,509,49,203,252,457,134,8,325,302,1872
274,Marcus Paige,2013,2016,North Carolina,ACC,141,4570,605,1487,302,677,303,810,357,421,55,344,399,601,203,35,274,242,1870
275,Shamorie Ponds,2017,2019,St. John's (NY),Big East,96,3378,632,1448,445,878,187,570,419,499,106,327,433,413,225,20,209,177,1870
276,Kyle Weems,2009,2012,Missouri State,MVC,134,3981,681,1550,441,909,240,641,266,337,188,656,844,198,146,114,181,382,1868
277,Saah Nimley,2012,2015,Charleston Southern,Big South,115,3717,544,1484,256,646,288,838,490,633,91,335,426,511,113,7,302,247,1866
278,Otis Livingston II,2016,2019,George Mason,A-10,132,4558,621,1517,418,934,203,583,420,489,32,339,371,493,126,2,316,207,1865
279,Rotnei Clarke,2009,2013,Total,Total,125,4086,598,1398,209,463,389,935,279,320,42,275,317,208,111,6,193,150,1864
282,Jahad Thomas,2015,2018,Massachusetts-Lowell,AEC,109,3599,735,1327,711,1263,24,64,370,577,222,640,862,384,164,25,391,312,1864
283,Lazar Hayward,2007,2010,Marquette,Big East,138,3648,667,1476,498,1003,169,473,356,451,298,612,910,122,158,43,230,371,1859
284,Aaric Murray,2010,2014,Total,Total,127,3433,679,1422,583,1145,96,277,405,555,291,591,882,146,107,275,271,380,1859
285,Aaron White,2012,2015,Iowa,Big Ten,140,3939,590,1142,529,925,61,217,618,800,289,613,902,190,149,85,211,219,1859
286,Elias Harris,2010,2013,Gonzaga,WCC,135,3785,666,1289,588,1070,78,219,447,618,270,709,979,177,123,72,242,290,1857
287,Nigel Hayes,2014,2017,Wisconsin,Big Ten,150,4439,605,1358,504,1054,101,304,546,820,270,532,802,319,133,64,238,313,1857
288,Brandon Bowdry,2007,2011,Eastern Michigan,MAC,126,3648,668,1474,606,1274,62,200,458,694,307,700,1007,171,116,37,392,361,1856
289,MoMo Jones,2010,2013,Total,Total,135,3929,651,1488,507,1028,144,460,405,483,72,250,322,351,125,5,298,252,1851
290,Omar Samhan,2007,2010,Saint Mary's (CA),WCC,133,3505,737,1357,737,1347,0,10,374,528,421,686,1107,142,50,257,220,348,1848
291,Khadeen Carrington,2015,2018,Seton Hall,Big East,132,4044,612,1478,423,942,189,536,433,564,81,323,404,388,138,30,272,270,1846
292,Malcolm Hill,2014,2017,Illinois,Big Ten,137,3864,583,1347,424,894,159,453,521,655,160,487,647,281,122,39,220,264,1846
293,Carl Jones,2010,2013,Saint Joseph's,A-10,126,3928,570,1409,357,804,213,605,492,662,42,302,344,341,123,9,266,177,1845
294,Divine Myles,2015,2018,Stetson,A-Sun,127,4163,681,1413,570,1092,111,321,372,533,92,461,553,501,160,18,223,254,1845
295,George Beamon,2010,2014,Manhattan,MAAC,120,3414,608,1367,485,1025,123,342,504,645,197,437,634,136,162,42,226,247,1843
296,Frank Gaines,2010,2013,Purdue-Fort Wayne,Summit,123,3287,601,1363,462,934,139,429,500,672,140,421,561,114,130,63,219,302,1841
297,Casper Ware,2009,2012,Long Beach State,Big West,131,4319,586,1458,373,848,213,610,456,582,60,274,334,545,205,15,368,290,1841
298,Tyrone Lewis,2007,2010,Niagara,MAAC,119,3974,589,1556,301,702,288,854,373,507,206,315,521,224,248,76,222,328,1839
299,Le'Bryan Nash,2012,2015,Oklahoma State,Big 12,126,3893,635,1381,605,1237,30,144,539,715,154,485,639,217,79,73,322,374,1839
300,Julius Brown,2012,2015,Toledo,MAC,131,4328,635,1512,436,934,199,578,369,459,43,278,321,694,140,23,369,180,1838
301,Osiris Eldridge,2007,2010,Illinois State,MVC,133,4099,631,1547,353,789,278,758,298,397,168,513,681,271,181,38,270,254,1838
304,Matt Janning,2007,2010,Northeastern,CAA,128,4597,639,1522,416,877,223,645,335,442,122,413,535,352,168,25,311,242,1836
305,Joel Berry,2015,2018,North Carolina,ACC,144,3973,615,1464,347,730,268,734,337,404,64,340,404,450,165,27,221,275,1835
306,Dedric Lawson,2016,2019,Total,Total,101,3341,647,1422,554,1142,93,280,448,592,307,688,995,250,125,161,263,261,1835
307,Jerome Randle,2007,2010,University of California,Pac-10,132,3997,595,1311,343,689,252,622,393,446,52,248,300,524,91,1,368,222,1835
308,Bernard Thompson,2012,2015,Florida Gulf Coast,A-Sun,134,4031,636,1466,417,865,219,601,344,487,170,453,623,246,262,19,278,313,1835
309,Michael Young,2014,2017,Pittsburgh,ACC,136,3924,642,1313,581,1133,61,180,490,644,296,551,847,243,66,87,221,265,1835
310,Tu Holloway,2009,2012,Xavier,A-10,134,4298,499,1210,339,736,160,474,675,792,43,388,431,550,164,11,345,265,1833
311,Omar Prewitt,2014,2017,William & Mary,CAA,126,3822,626,1340,437,803,189,537,390,555,104,536,640,320,118,78,239,272,1831
312,Joe Chealey,2014,2018,College of Charleston,CAA,129,4018,533,1320,354,804,179,516,582,723,68,386,454,397,111,18,244,322,1827
313,Antoine Agudio,2006,2008,Hofstra,CAA,92,3524,620,1388,345,736,275,652,309,425,72,260,332,245,102,7,261,150,1824
314,Kevin Pangos,2012,2015,Gonzaga,WCC,142,4689,566,1306,244,530,322,776,370,439,46,358,404,536,177,7,222,269,1824
315,James Thompson IV,2016,2019,Eastern Michigan,MAC,132,4278,701,1109,694,1091,7,18,414,649,575,876,1451,78,97,172,225,412,1823
316,Kevin Jones,2009,2012,West Virginia,Big East,139,4347,728,1475,618,1126,110,349,256,378,450,598,1048,141,84,109,136,225,1822
317,Brian Parker,2016,2019,Marist,MAAC,120,3683,629,1304,565,1111,64,193,500,741,120,486,606,386,75,7,410,263,1822
318,A.D. Vassallo,2006,2009,Virginia Tech,ACC,133,3806,639,1439,372,745,267,694,277,350,115,466,581,222,82,62,244,286,1822
319,Curtis Jerrells,2006,2009,Baylor,Big 12,119,3934,601,1391,384,784,217,607,401,544,98,389,487,487,159,31,321,216,1820
320,Josh Adams,2013,2016,Wyoming,MWC,132,4318,579,1333,390,761,189,572,472,621,62,373,435,405,144,42,326,314,1819
321,R.J. Hunter,2013,2015,Georgia State,Total,99,3438,559,1321,306,606,253,715,448,525,68,406,474,240,191,92,168,214,1819
322,Devin Sibley,2015,2018,Furman,Southern,134,3729,621,1318,411,759,210,559,365,529,67,428,495,239,94,33,329,287,1817
323,Devin Watson,2015,2019,Total,Total,128,3959,572,1413,353,804,219,609,453,612,52,266,318,490,119,0,297,202,1816
324,Corey Lowe,2007,2010,Boston University,AEC,113,3829,612,1539,299,657,313,882,278,428,91,364,455,411,124,28,403,290,1815
325,Jalen Hayes,2014,2018,Oakland,Horizon,134,3901,697,1322,680,1265,17,57,403,541,280,691,971,175,133,79,217,387,1814
326,Kendall Williams,2011,2014,New Mexico,MWC,137,4450,526,1216,321,677,205,539,556,725,87,372,459,617,186,16,286,228,1813
327,Andrew Andrews,2013,2016,Washington,Pac-12,128,3929,520,1340,326,788,194,552,578,709,135,408,543,387,149,10,264,336,1812
328,James Anderson,2008,2010,Oklahoma State,Big 12,101,3316,583,1268,358,668,225,600,420,527,196,317,513,163,112,60,212,214,1811
329,Nic Moore,2012,2016,Total,Total,135,4363,571,1338,290,660,281,678,388,464,34,278,312,643,169,6,319,309,1811
330,Jelani Hewitt,2011,2015,Georgia Southern,Total,127,4042,573,1488,303,720,270,768,394,490,113,386,499,340,252,21,343,281,1810
331,Malcolm Brogdon,2012,2016,Virginia,ACC,136,4157,601,1399,416,892,185,507,422,482,82,481,563,335,117,31,207,250,1809
332,Corey Walden,2011,2015,Total,Total,125,3978,585,1164,419,687,166,477,471,562,97,371,468,366,292,15,274,383,1807
333,Jon Brockman,2006,2009,Washington,Pac-10,131,3760,718,1345,718,1344,0,1,369,603,487,796,1283,133,111,18,271,370,1805
334,Victor Sanders,2015,2018,Idaho,Big Sky,120,3156,546,1237,274,578,272,659,440,559,60,301,361,287,130,45,283,289,1804
335,Jaylin Walker,2016,2019,Kent State,MAC,114,3489,590,1529,295,676,295,853,329,415,154,311,465,167,107,7,244,168,1804
336,Venky Jois,2013,2016,Eastern Washington,Big Sky,122,3927,718,1232,714,1210,4,22,363,660,275,740,1015,276,121,240,302,299,1803
337,Tajuan Porter,2007,2010,Oregon,Pac-10,126,4021,584,1499,239,603,345,896,290,333,64,226,290,259,103,6,311,248,1803
338,Ahmaad Rorie,2015,2019,Total,Total,136,4115,644,1457,443,894,201,563,314,381,89,375,464,430,106,18,204,238,1803
339,Jordan Murphy,2016,2019,Minnesota,Big Ten,133,3895,655,1322,623,1184,32,138,460,698,415,890,1305,189,115,129,273,385,1802
340,J'Nathan Bullock,2006,2009,Cleveland State,Horizon,130,3872,617,1429,545,1191,72,238,494,685,281,535,816,134,124,43,255,301,1800
341,Marcus Evans,2016,2019,Total,Total,100,3069,558,1261,379,712,179,549,505,642,57,289,346,327,175,16,318,263,1800
342,Perry Ellis,2013,2016,Kansas,Big 12,144,3604,653,1286,597,1156,56,130,436,576,258,576,834,148,90,72,174,268,1798
343,Obi Emegano,2012,2016,Total,Total,100,3406,580,1269,492,1044,88,225,550,684,80,375,455,171,126,17,213,217,1798
346,Tra Holder,2015,2018,Arizona State,Pac-12,129,4181,544,1370,368,874,176,496,533,696,99,337,436,448,120,4,308,255,1797
347,Dominique Jones,2008,2010,South Florida,Big East,95,3470,592,1339,432,844,160,495,453,615,142,375,517,328,144,39,249,245,1797
348,Isiah Umipig,2011,2015,Total,Total,125,3789,582,1411,234,524,348,887,285,345,57,256,313,311,119,2,272,278,1797
349,Michael Deloach,2007,2010,Norfolk State,MEAC,116,3244,672,1408,581,1116,91,292,361,537,136,304,440,302,211,16,343,309,1796
350,Grant Riller,2017,2019,College of Charleston,CAA,101,3226,653,1240,513,844,140,396,350,448,45,231,276,244,116,23,190,185,1796
351,Jake Cohen,2010,2013,Davidson,Southern,131,3157,611,1260,489,912,122,348,451,560,232,515,747,147,76,197,258,406,1795
352,Kendrick Nunn,2014,2018,Total,Total,126,3796,631,1473,337,711,294,762,239,291,57,398,455,262,146,27,213,225,1795
353,Rian Pearson,2010,2014,Total,Total,130,3668,680,1444,637,1316,43,128,391,565,264,490,754,197,181,27,251,253,1794
354,Tyler Seibring,2016,2019,Elon,CAA,128,4077,659,1378,381,698,278,680,198,267,187,592,779,242,54,81,137,239,1794
355,Charles Williams,2017,2019,Howard,MEAC,100,3219,641,1488,441,953,200,535,312,391,79,211,290,62,69,31,164,200,1794
356,TaShawn Thomas,2012,2015,Total,Total,131,4001,737,1318,735,1298,2,20,317,510,365,696,1061,226,122,262,258,272,1793
357,Cleveland Melvin,2011,2014,DePaul,Big East,110,3349,719,1509,655,1317,64,192,290,444,266,441,707,87,101,131,217,207,1792
358,Brandon Johnson,2006,2010,San Diego,WCC,134,4162,581,1434,392,891,189,543,439,634,84,374,458,525,240,3,401,296,1790
359,Ahmad Nivins,2006,2009,Saint Joseph's,A-10,126,4156,614,980,614,977,0,3,561,765,359,596,955,67,92,166,281,337,1789
360,Jaelan Sanford,2016,2019,Toledo,MAC,133,4377,618,1404,380,758,238,646,315,391,80,314,394,373,77,48,219,235,1789
361,Josh Young,2007,2010,Drake,MVC,127,4002,546,1312,291,606,255,706,442,563,88,311,399,263,138,5,226,239,1789
362,Ryan Anderson,2012,2016,Total,Total,128,3906,630,1295,598,1175,32,120,495,706,309,741,1050,151,83,73,235,235,1787
363,Quinton Hooker,2014,2017,North Dakota,Big Sky,128,3917,592,1278,422,842,170,436,433,523,102,394,496,417,195,27,216,276,1787
364,Ryan Boatright,2012,2015,Connecticut,Total,128,4322,566,1362,367,838,199,524,455,573,65,381,446,491,180,22,302,206,1786
365,Stacy Davis,2013,2016,Pepperdine,WCC,125,3941,607,1318,538,1122,69,196,503,654,283,711,994,211,83,87,301,282,1786
368,Quincy Pondexter,2007,2010,Washington,Pac-10,136,3715,652,1297,598,1132,54,165,428,557,324,433,757,230,107,45,258,346,1786
369,Reid Travis,2015,2019,Total,Total,130,3825,656,1216,631,1128,25,88,449,701,372,615,987,107,83,44,223,315,1786
370,Jawan Carter,2007,2011,Total,Total,126,4260,509,1314,251,573,258,741,508,632,80,267,347,382,123,1,306,289,1784
371,Kevin Hervey,2015,2018,Texas-Arlington,Sun Belt,115,3186,631,1435,427,805,204,630,317,413,221,700,921,216,114,55,236,215,1783
372,Mike Smith,2007,2011,East Tennessee State,A-Sun,139,4087,605,1350,446,912,159,438,414,534,193,590,783,245,146,55,277,429,1783
373,Kemba Walker,2009,2011,Connecticut,Big East,111,3647,578,1350,452,963,126,387,501,640,116,377,493,460,185,28,258,171,1783
374,Marcelus Kemp,2006,2008,Nevada,WAC,100,2975,621,1357,415,821,206,536,334,397,105,338,443,235,62,25,239,200,1782
375,T.J. Price,2012,2015,Western Kentucky,Total,125,3881,581,1425,295,656,286,769,334,440,113,466,579,318,123,25,300,332,1782
376,Barry Brown,2016,2019,Kansas State,Big 12,139,4472,633,1519,460,977,173,542,342,488,76,383,459,350,254,17,271,287,1781
377,Kyle Hines,2006,2008,North Carolina-Greensboro,Southern,90,2949,707,1227,703,1202,4,25,361,607,313,475,788,126,147,243,273,241,1779
378,Dyami Starks,2011,2015,Total,Total,112,3545,600,1464,300,657,300,807,279,319,62,242,304,162,81,13,204,206,1779
379,Xavier Cooks,2015,2018,Winthrop,Big South,127,3558,659,1300,558,1010,101,290,359,520,223,760,983,306,109,221,333,323,1778
380,Matt Dickey,2009,2012,North Carolina-Asheville,Big South,130,3959,546,1252,347,679,199,573,487,578,96,354,450,429,188,10,332,334,1778
381,Ryan Taylor,2014,2017,Marshall,CUSA,128,3519,616,1263,528,960,88,303,458,683,254,731,985,292,111,122,302,446,1778
382,De'Mon Brooks,2011,2014,Davidson,Southern,125,2971,647,1209,594,1055,53,154,430,590,275,490,765,113,98,71,232,397,1777
383,Vaughn Duggins,2007,2011,Wright State,Horizon,130,4428,611,1414,424,893,187,521,368,475,100,334,434,330,153,11,240,218,1777
384,Shannon Evans,2014,2018,Total,Total,127,4201,553,1408,288,670,265,738,406,494,54,336,390,504,182,37,259,246,1777
385,Courtney Lee,2006,2008,Western Kentucky,Sun Belt,96,2929,626,1338,438,870,188,468,337,404,157,346,503,218,187,61,249,236,1777
386,Erving Walker,2009,2012,Florida,SEC,144,4358,527,1345,242,590,285,755,438,550,59,322,381,547,159,1,302,241,1777
387,Marcus Denmon,2009,2012,Missouri,Big 12,141,3598,597,1311,314,606,283,705,298,373,131,348,479,237,178,14,140,185,1775
390,Kwame Vaughn,2009,2013,Total,Total,123,3767,556,1246,401,808,155,438,508,640,65,447,512,342,120,16,315,314,1775
391,Desmond Yates,2007,2010,Middle Tennessee,Sun Belt,122,3517,714,1291,624,1070,90,221,257,328,168,331,499,56,62,51,184,387,1775
392,Nick Perkins,2016,2019,Buffalo,MAC,139,3429,639,1406,492,953,147,453,349,521,249,599,848,84,47,92,258,347,1774
393,Sean Singletary,2006,2008,Virginia,ACC,94,3168,541,1321,353,813,188,508,504,588,96,306,402,474,152,5,332,234,1774
394,Kassius Robertson,2014,2018,Total,Total,134,4074,563,1278,245,507,318,771,329,418,101,271,372,255,113,10,232,224,1773
395,Jimmy Hall,2013,2017,Total,Total,105,3215,708,1381,697,1336,11,45,345,480,359,575,934,217,74,105,283,303,1772
396,Robbie Hummel,2008,2012,Purdue,Big Ten,127,3830,583,1315,367,760,216,555,390,464,237,625,862,268,131,112,138,306,1772
